Company,City,Phone,Phone Type,WhatsApp Link,Email (info@),Website,LinkedIn Search,Pitch,Status,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score,Email,Title,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,phone,linkedin_url
Textil-Grosshandel,Dortmund,+49 231 58689120,Landline — Call only,,info@textil-grosshandel.eu,https://www.textil-grosshandel.eu/,"""Textil-Grosshandel"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Textil-Großhandel | Ihr Partner für Textilhandel & -druck,6000+ Textilien ✓ Textildruck ✓ Lieferung in 1-3 Tagen ✓ 100.000+ zufriedene Kunden ✓ Veredelbare Basis- & Firmenbekleidung bei Textil-Großhandel kaufen!,0157 92468700,,,,partial,1,,,,False,True,False,1,0,skip,Textil-Großhandel | Ihr Partner für Textilhandel & -druck,0157 92468700,
AixTextiles GmbH,Aachen,+49 1575 3708530,Mobile — WhatsApp OK,https://wa.me/4915753708530,info@aixtextiles.de,http://www.aixtextiles.de/,"""AixTextiles GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Startseite - Textilproduktion Türkei- Aixtextiles - Textilproduktion & Fullfillment - All in One,Textilproduktion Türkei Hoch qualitative mit Büro und Lager in Deutschland. Textilagentur Deutschland mit Jahrelange Expertise in Textilien.,49 1575 370,,,,partial,1,,,,False,True,False,1,0,skip,Startseite - Textilproduktion Türkei- Aixtextiles - Textilproduktion & Fullfillment - All in One,+49 1575 370,
Aytex Textil-Vertriebs GmbH,Aachen,+49 241 928190,Landline — Call only,,info@aytex.de,https://www.aytex.de/,"""Aytex Textil-Vertriebs GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Start - Aytex,,,,,,partial,1,,,,False,True,False,1,0,skip,Start - Aytex,,
LUSITEX Produktion & Großhandel von Textilien,Moers,,No number,,info@strauss-home.com,http://strauss-home.com/,"""LUSITEX Produktion & Großhandel von Textilien"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Strauss Home Deutschland,"Strauss Home – Heimtextilien mit Liebe gemacht 💛 Entdecke weiche Stoffe, zeitloses Design & Wohlfühlqualität für dein gemütliches Zuhause.",,,,,partial,1,,,,False,True,False,1,0,skip,Strauss Home Deutschland,,
House Style - Textil-Großhandel | wholesale fashion clothing | hurtownia odziezy,Karben,+49 6039 938080,Landline — Call only,,info@house-style.de,http://www.house-style.de/,"""House Style - Textil-Großhandel | wholesale fashion clothing | hurtownia odziezy"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,House Style,,49-6039-9380,,,,partial,0,,,,False,False,False,0,0,skip,,,
NONZ GmbH Textil Großhandel,Essen,+49 177 4415588,Mobile — WhatsApp OK,https://wa.me/491774415588,info@nonzfashion.fashion123.de,https://nonzfashion.fashion123.de/,"""NONZ GmbH Textil Großhandel"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,,,,,,,partial,0,,,,False,False,False,0,0,skip,,,
RE TEXTIL Deutschland GmbH,Polch,+49 2654 8810800,Landline — Call only,,info@re-textil.de,http://www.re-textil.de/,"""RE TEXTIL Deutschland GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Textilrecycling // RE TEXTIL,RE TEXTIL Deutschland aus Polch bei Koblenz ist ein Textilrecycling- und Sortierbetrieb für Altkleider und Schuhe.,49 2654 8810,,,,partial,1,,,,False,True,False,1,0,skip,Textilrecycling // RE TEXTIL,+49 2654 8810 800,
Gür GmbH Textil Näherei Großhandel,Wuppertal,+49 202 40868340,Landline — Call only,,info@guertextil.com,http://www.guertextil.com/,"""Gür GmbH Textil Näherei Großhandel"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,STRATO - Domain reserved,,,,,,partial,1,,,,False,True,False,1,0,skip,STRATO - Domain reserved,,
Jumbo-Textil GmbH & Co. KG,Sprockhövel,+49 2339 9293970,Landline — Call only,,info@jumbo-textil.de,http://www.jumbo-textil.de/,"""Jumbo-Textil GmbH & Co. KG"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,JUMBO-Textil – IHR LÃSUNGSPARTNER FÃR HIGHTECH-TEXTILIEN,,49 2339 9293,,https://de.linkedin.com/company/jumbo-textil-gmbh-&-co.-kg,,partial,1,,,,False,True,False,1,0,skip,JUMBO-Textil – IHR LÃSUNGSPARTNER FÃR HIGHTECH-TEXTILIEN,+49 2339 929397,
Müller Textil GmbH,Wiehl,+49 2262 8070,Landline — Call only,,info@mullertextiles.com,https://www.mullertextiles.com/,"""Müller Textil GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Innovative Abstandsgewirke | MÜLLER TEXTIL,MÜLLER TEXTIL ist der führende Hersteller innovativer Abstandsgewirke und erfüllt als global tätiges Familienunternehmen höchste Ansprüche unterschiedlichster Branchen.,,,https://www.linkedin.com/company/mueller-textil-gmbh/,,partial,1,,,,False,True,False,1,0,skip,Innovative Abstandsgewirke | MÜLLER TEXTIL,,https://www.linkedin.com/company/mueller-textil-gmbh/
