event_name,edition_2025,edition_2026,city,country,region,venue,visitors,exhibitors,exhibitor_countries,area_m2,frequency,organizer,website,notes
Fast Textile,"November 18-20, 2025","November 17-19, 2026",Nadarzyn / Łódź,Poland,Eastern Europe,Ptak Expo,"14,663","456",31,"20,000",Annual,Ptak Warsaw Expo,https://fasttextile.com/en/,"Largest textile fair in CEE; 12th ed. 2026"
Trends Expo (Apparel),"August 27-29, 2025","August 25-27, 2026",Nadarzyn,Poland,Eastern Europe,Ptak Warsaw Expo,"8,327","407",20,"50,000",Annual,Ptak Warsaw Expo,https://expotrends.eu/en/,"CEE's largest apparel fashion fair; 3rd ed. 2026"
Sourcing Expo Poland,"August 27-29, 2025","August 25-27, 2026",Nadarzyn,Poland,Eastern Europe,Ptak Warsaw Expo,"5,000","140",15,"10,000",Annual,Ptak Warsaw Expo,https://sourcingexpo.pl/en/,"Co-located with Trends Expo; clothing production & sewing services"
Warsaw Home Textile,"October 22-25, 2025","October 21-24, 2026",Nadarzyn,Poland,Eastern Europe,Ptak Warsaw Expo,"67,322","763",30,"125,000",Annual,Ptak Warsaw Expo,https://warsawhometextile.com/en/,"Largest fabric & home-textile fair in CEE; co-located with Warsaw Home"
STYL & KABO Brno,"February 22-24, 2025; August 23-25, 2025","February 21-23, 2026; August 22-24, 2026",Brno,Czech Republic,Eastern Europe,Brno Exhibition Centre,"7,000+","200+",15,"12,000",Biannual,Veletrhy Brno,https://www.bvv.cz/en/styl-kabo/,"Most important B2B fashion & footwear trade fair in Central Europe; held twice yearly; 67th ed."
Textailor Expo,"March 19-21, 2025","March 19-21, 2026",Bucharest,Romania,Eastern Europe,Romexpo,"3,000+","20",8,"3,000",Annual,Romexpo,https://www.textailorexpo.com/en,"Romanian intl tailoring & textile machinery exhibition; visitors from 21 countries"
Mode Lingerie & Swim Moscow,"February 2025","February 2026",Moscow,Russia,Eastern Europe,Crocus Expo,"7,000+","200+",15,"5,000",Biannual,Messe Frankfurt RUS,https://mode-lingerie-swim-moscow.ru.messefrankfurt.com/,"Eastern European lingerie/swimwear B2B fair"
CPM – Collection Première Moscow,"February 17-20, 2025; September 1-4, 2025","February 16-19, 2026; September 1-4, 2026",Moscow,Russia,Eastern Europe,Expocentr / Crocus Expo,"20,000","850",30,"30,000",Biannual,Igedo Company,https://cpm-moscow.com/,"Largest fashion fair for Russia & Eastern Europe; 1,300+ brands; 46th season"
Kyiv Fashion,"February 2025; September 2025","February 2026; September 2026",Kyiv,Ukraine,Eastern Europe,IEC Kyiv,"15,000+","600",15,"10,000",Biannual,Premier Expo,https://www.kyivfashion.kiev.ua/en/,"Largest Ukrainian fashion B2B fair; main event of Ukrainian fashion industry"
Baltic Fashion & Textile Vilnius,"September 2025","September 2026",Vilnius,Lithuania,Eastern Europe,Litexpo,"5,000+","100+",15,"5,000",Annual,Litexpo,https://litexpo.lt/en/,"Baltic regional textile & apparel fair"
CIFF Copenhagen,"August 6-8, 2025","August 3-5, 2026",Copenhagen,Denmark,Scandinavia,Bella Center,"15,000+","2,000+",40,"50,000",Biannual,CIFF,https://ciff.dk/,"Largest Scandinavian fashion trade show; 67th ed. Aug 2026"
Copenhagen Fashion Week,"January 27-31 & August 4-8, 2025","January 27-30 & August 4-7, 2026",Copenhagen,Denmark,Scandinavia,Various,"50,000+","45 designers",30,N/A,Biannual,Copenhagen Fashion Week,https://copenhagenfashionweek.com/,"Most influential Scandinavian fashion week; sustainability-led"
Revolver Copenhagen,"August 6-7, 2025","August 4-5, 2026",Copenhagen,Denmark,Scandinavia,Lokomotivværkstedet,"3,000+","150+",20,"5,000",Biannual,Revolver,https://revolver.dk/,"Curated Scandinavian fashion trade show alongside CFW"
Nordic Fabric Fair,"January 21-22, 2025","January 20-21, 2026",Stockholm,Sweden,Scandinavia,Stockholm Fashion District,"2,000+","60+",10,"3,000",Annual,Trade Partners Sweden,https://www.tradepartnerssweden.se/,"Leading Scandinavian textile fair (fashion, sport, outdoor, fitness fabrics)"
Stockholm Fashion Week,"August 26-28, 2025","August 25-27, 2026",Stockholm,Sweden,Scandinavia,Various,"5,000+","30+ designers",10,N/A,Biannual,Swedish Fashion Council,https://www.swedishfashioncouncil.se/,"Sweden's primary fashion industry showcase"
Formex Stockholm,"January 14-17, 2025; August 19-22, 2025","January 13-16, 2026; August 25-27, 2026",Stockholm,Sweden,Scandinavia,Stockholmsmässan,"22,000+","800+",30,"35,000",Biannual,Stockholmsmässan,https://www.formex.se/en/,"Nordic interior design + fashion accessories fair"
Oslo Runway,"August 2025","August 2026",Oslo,Norway,Scandinavia,Various,"3,000+","20+ designers",5,N/A,Annual,Oslo Runway,https://oslorunway.com/,"Norway's official fashion week"
Habitare,"September 10-14, 2025","September 9-13, 2026",Helsinki,Finland,Scandinavia,Messukeskus,"45,000+","450+",20,"35,000",Annual,Messukeskus,https://habitare.messukeskus.com/,"Finnish design + textile fair (Nordic's biggest interior design event)"
DesignMarch Reykjavik,"April 30 - May 4, 2025","April 29 - May 3, 2026",Reykjavik,Iceland,Scandinavia,Various,"30,000+","100+",10,N/A,Annual,Iceland Design Centre,https://designmarch.is/,"Iceland's main design + fashion festival/fair"
